黄金时代,8.8,(53102人评价),王小波/花城出版社/1999-3/19.00元
牧羊少年奇幻之旅,8.6,(46441人评价),[巴西]保罗·柯艾略/丁文林/南海出版公司/2009-3-1/25.00元
悉达多,9.0,(11170人评价),[德]赫尔曼·黑塞/杨玉功译、丁君君校/上海人民出版社/2009-3/20.00
动物农场,9.2,(28697人评价),[英]乔治·奥威尔/荣如德/上海译文出版社/2007-3/10.00元
一句顶一万句,8.6,(14439人评价),刘震云/长江文艺出版社/2009-3/29.80
长安十二时辰,8.6,(655人评价),马伯庸/湖南文艺出版社/2016-11-21/79.60元
饮罪者,8.4,(122人评价),黄青蕉/天津人民出版社/2017-1-1/CNY39.90
强风吹拂,9.1,(2139人评价),(日)三浦紫苑/林佩瑾、李建铨、杨正敏/广西师范大学出版社/2015-1-1/39.00元
白夜照相馆,8.2,(99人评价),王苏辛/北京联合出版公司/联合读创/2017-1/38
飘,9.3,(73833人评价),[美国]玛格丽特·米切尔/李美华/译林出版社/2000-9/40.00元
倾城之恋,8.5,(83710人评价),张爱玲/花城出版社/1997-3-1/11.00
思家小馆的晚餐,8.2,(253人评价),[美]安·泰勒/刘韶方/百花文艺出版社/2016-11-1/39.50
河流之声,8.6,(67人评价),[西班牙]乔莫·卡夫雷/张雯媛/理想国|广西师范大学出版社/2017-1-1/88.00元
源泉,9.1,(4538人评价),[美]安·兰德/高晓晴、赵雅蔷、杨玉/重庆出版社/2005-11/49.80元
小说药丸,8.3,(269人评价),[英]埃拉·伯绍德、[英]苏珊·埃尔德金/汪芃/上海人民出版社/2016-10/59.00元
心是孤独的猎手,8.5,(22430人评价),[美]卡森·麦卡勒斯/陈笑黎/上海三联书店/2005-8/25.00元
嗨，好久不见,8.8,(264人评价),顾前/北京十月文艺出版社/2016-11/36
白鹿原,8.6,(35900人评价),陈忠实/人民文学出版社/1997年/28.00元
一个人的朝圣,8.1,(23885人评价),【英】蕾秋·乔伊斯/黄妙瑜/北京联合出版公司/2013-9-1/32.80
灿烂千阳,8.7,(49066人评价),[美]卡勒德·胡赛尼/李继宏/上海人民出版社/2007-9/28.00元
树上的男爵,9.0,(8931人评价),(意)卡尔维诺/吴正仪/译林出版社/2012-4/30.00元
挪威的森林,8.0,(179886人评价),[日]村上春树/林少华/上海译文出版社/2001-2/18.80元
三生三世 十里桃花,8.2,(59132人评价),唐七公子/沈阳出版社/2009-1/26.80
情人,8.1,(79827人评价),[法]玛格丽特·杜拉斯/王道乾/上海译文出版社/2005-7/20.00元
博尔赫斯小说集,9.1,(7421人评价),[阿根廷]博尔赫斯/王永年、陈泉/浙江文艺出版社/2005-12/26.00元
猫城记,8.5,(1800人评价),老舍/人民文学出版社/2008-11/12.00元
1Q84 BOOK 1,8.3,(74402人评价),[日]村上春树/施小炜/南海出版公司/2010-5/36.00元
毛姆短篇小说精选集,9.1,(4040人评价),(英)威廉·萨默塞特·毛姆/冯亦代、傅惟慈、陆谷孙/译林出版社/2012-11/36.00元
海风中失落的血色馈赠,9.0,(1405人评价),[加拿大]阿利斯泰尔·麦克劳德/陈以侃/上海文艺出版社/2015-6/20.00元
生活与命运,9.1,(521人评价),[俄罗斯]瓦西里·格罗斯曼/力冈/广西师范大学出版社/2015-8-20/118.00元
当我们谈论爱情时我们在谈论什么,7.8,(29828人评价),[美]雷蒙德·卡佛/小二/译林出版社/2010-1/22.00元
边城,8.6,(64752人评价),沈从文、黄永玉卓雅插图./北岳文艺出版社/2002-4/12.00元
玫瑰的名字,8.6,(5326人评价),[意]翁贝托·埃科/沈萼梅、刘锡荣/上海译文出版社/2010-03/33.00元
献给阿尔吉侬的花束,8.9,(4946人评价),[美]丹尼尔·凯斯/周月玲/辽宁教育出版社/2005-8/25.00元
城南旧事,8.9,(21675人评价),林海音文、关维兴图/中国青年出版社/2003-7/16.00元
遥远的星辰,8.5,(778人评价),[智利]罗贝托·波拉尼奥/张慧玲/上海人民出版社/2016-1/32.00元
永恒的终结,9.0,(9827人评价),[美]艾萨克·阿西莫夫/崔正男/江苏文艺出版社/2014-9-1/CNY32.00
逃离,8.0,(6492人评价),艾丽丝·门罗/李文俊/北京十月文艺出版社/2009-1-7/28.00元
许三观卖血记,8.7,(57079人评价),余华/南海出版公司/1998-9/16.80元
过于喧嚣的孤独,8.8,(5746人评价),(捷克)赫拉巴尔/杨乐云/北京十月文艺出版社/2011-10/22.00元
台北人,8.9,(9550人评价),白先勇/广西师范大学出版社/2010-10/38.00元
人间失格,8.3,(34392人评价),太宰治/许时嘉/吉林出版集团有限责任公司/2009年9月/16.00元
穆斯林的葬礼,8.3,(65526人评价),霍达/北京十月文艺出版社/1988-12-1/32.00
偷影子的人,7.9,(38291人评价),(法)马克·李维/段韵灵/湖南文艺出版社/2012-6-20/29.80元
火星救援,8.9,(7881人评价),[美]安迪·威尔/陈灼/译林出版社/2015-10-1/38.00
陆犯焉识,8.7,(17600人评价),严歌苓/作家出版社/2011-10-1/35.00元
了不起的盖茨比,8.3,(32560人评价),菲茨杰拉德/姚乃强/人民文学出版社/2004-06/12.00元
情书,8.6,(45405人评价),[日]岩井俊二/穆晓芳/天津人民出版社/2004-7/18.00元
试刊号,8.5,(135人评价),[意]翁贝托·埃科/魏怡/上海译文出版社/2017-1-1/CNY38.00
十一种孤独,8.1,(12598人评价),（美）理查德·耶茨/陈新宇/上海译文出版社/2010-1/20.00元
蒙着眼睛的旅行者,8.4,(557人评价),朱岳/新星出版社/2006-12/16.00元
死缓,8.8,(169人评价),[法]路易-费迪南·塞利纳/金龙格/漓江出版社/2016-1/60.00元
无人生还,8.9,(31077人评价),[英]阿加莎・克里斯蒂/祁阿红/人民文学出版社/2008-3/19.00
美丽新世界,8.5,(9109人评价),[英]阿道司·赫胥黎/王波/重庆出版社/2005-6/20.00元
望春风,8.3,(792人评价),格非/译林出版社/2016-6/48.00
焚舟纪,8.5,(2998人评价),[英]安吉拉·卡特/严韵/南京大学出版社/2012-3-29/100.00元
教父,8.9,(16160人评价),[美]马里奥·普佐/周汉林/译林出版社/1997.8/23.30元
一个陌生女人的来信,8.7,(39262人评价),[奥]斯台芬·茨威格/张玉书/上海译文出版社/2007-7/20.00元
失明症漫记,9.1,(2652人评价),(葡)若泽·萨拉马戈/范维信/南海出版公司/2014-2/29.50
24个比利,8.2,(8510人评价),[美]丹尼尔·凯斯/邢世阳/外语教学与研究出版社/2015-6-30/39.00元
最初的爱情 最后的仪式,8.0,(25540人评价),[英]伊恩·麦克尤恩/潘帕/南京大学出版社/2010-2/22.00元
面纱,8.7,(8424人评价),[英]W.萨默塞特·毛姆/阮景林/重庆出版社/2012-5/32.00元
世界尽头与冷酷仙境,8.5,(24267人评价),[日]村上春树/林少华/上海译文出版社/2002-12/23.00元
我不知道该如何像正常人那样生活,7.5,(1053人评价),徐晚晴/上海文艺出版社·豆瓣阅读/2016-10/29.00
时间之间,8.4,(481人评价),[英]珍妮特·温特森/于是/未读·北京联合出版公司/2016-4/49.80元
喜剧作家,8.3,(148人评价),止庵/中信出版社/2017-2-1/45
一桩事先张扬的凶杀案,8.6,(9089人评价),[哥伦比亚]加西亚·马尔克斯/魏然/南海出版公司/2013-6/25.00
呼兰河传,8.8,(13838人评价),萧红/百花文艺出版社/2005-01/19.00
我们终将被遗忘,8.8,(43人评价),李唐/湖南文艺出版社/2017-1-1/32.00
海边的卡夫卡,8.1,(59078人评价),[日]村上春树/林少华/上海译文出版社/2003-4/25.00元
所有我们看不见的光,8.9,(1210人评价),[美]安东尼·多尔/高环宇/中信出版社/2015-8/42.00元
人鼠之间,9.0,(874人评价),[美]约翰·斯坦贝克（JohnSteinbeck）/李天奇/上海文艺出版社/2016-1-1/29.00元
遥远的救世主,8.8,(7378人评价),豆豆/作家出版社/2005-05-01/28.00
长安十二时辰 上,9.0,(400人评价),马伯庸/湖南文艺出版社/2017-1/39.80元
荆棘鸟,8.6,(30502人评价),[澳]考琳·麦卡洛/曾胡/译林出版社/1998-7/28.00元
平原上的摩西,8.5,(389人评价),双雪涛/百花文艺出版社/2016-7/39.50元
鬼吹灯之精绝古城,8.1,(37116人评价),天下霸唱/安徽文艺出版社/2006/25.0
悟空传,8.4,(54696人评价),今何在/光明日报出版社/2001-4/14.80元
独孤伽罗,9.8,(32人评价),陈峻菁/江苏凤凰文艺出版社/2017-1/49.80元
三国演义（全二册）,9.2,(52939人评价),[明]罗贯中/人民文学出版社/1998-05/39.50元
一九八四·动物农场,9.2,(24101人评价),[英]乔治·奥威尔/董乐山、傅惟慈/上海译文出版社/2003-4/23.00元
德米安,9.0,(5880人评价),[德]赫尔曼·黑塞/丁君君、谢莹莹/上海人民出版社/2009-3/25.00元
唐人小说,9.1,(147人评价),汪辟疆校录/上海古籍出版社/1978年1月/0.95元
2666,8.6,(1867人评价),[智利]罗贝托·波拉尼奥/赵德明/上海人民出版社/2012-1-1/98.00元
项塔兰,9.0,(3504人评价),[澳]格里高利·大卫·罗伯兹/黄中宪/华文出版社/2009-4/58.00
慈悲,8.2,(1712人评价),路内/人民文学出版社/2016-1/36.00
细民盛宴,8.4,(54人评价),张怡微/人民文学出版社/2017-1-1
精神科的故事：在游泳池,7.7,(1583人评价),[日]奥田英朗/王维幸/南海出版公司/2016-7/35.00元
如果在冬夜，一个旅人,8.7,(7446人评价),[意大利]伊塔洛·卡尔维诺/萧天佑/译林出版社/2007-6/25.00元
